benchmark_num_bands,void_speed_fraction,max_velocity_update_m_per_s,FWI stage,Stage description,Metric short name,Metric full name,Value,Unit,Formula used,Meaning,Good result
0,0.1,7589.7,Stage 1,20 MHz low-frequency FWI reconstruction,MAE,Mean Absolute Error,2192.825927734375,m/s,mean(abs(reconstructed_speed - true_speed)),Average absolute velocity error inside the inversion mask.,Lower is better.
0,0.1,7589.7,Stage 1,20 MHz low-frequency FWI reconstruction,RMSE,Root Mean Squared Error,3085.933837890625,m/s,sqrt(mean((reconstructed_speed - true_speed)^2)),"Typical velocity error, with large errors penalized more strongly.",Lower is better.
0,0.1,7589.7,Stage 1,20 MHz low-frequency FWI reconstruction,Bias,Mean Signed Error,1291.7919921875,m/s,mean(reconstructed_speed - true_speed),Average signed error. Positive means too fast; negative means too slow.,Closer to zero is better.
0,0.1,7589.7,Stage 1,20 MHz low-frequency FWI reconstruction,NRMSE,Normalized Root Mean Squared Error,40.65949630737305,%,100 * RMSE / (max(true_speed) - min(true_speed)),RMSE expressed as percent of the true velocity range.,Lower is better.
0,0.1,7589.7,Stage 1,20 MHz low-frequency FWI reconstruction,Correlation,Pearson Spatial Correlation,-0.1271387260494663,unitless,"corrcoef(reconstructed_speed_flat, true_speed_flat)",Spatial similarity between reconstructed and true velocity maps.,Closer to 1 is better.
0,0.1,7589.7,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,MAE,Mean Absolute Error,2083.1865234375,m/s,mean(abs(reconstructed_speed - true_speed)),Average absolute velocity error inside the inversion mask.,Lower is better.
0,0.1,7589.7,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,RMSE,Root Mean Squared Error,3077.02685546875,m/s,sqrt(mean((reconstructed_speed - true_speed)^2)),"Typical velocity error, with large errors penalized more strongly.",Lower is better.
0,0.1,7589.7,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,Bias,Mean Signed Error,1270.456298828125,m/s,mean(reconstructed_speed - true_speed),Average signed error. Positive means too fast; negative means too slow.,Closer to zero is better.
0,0.1,7589.7,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,NRMSE,Normalized Root Mean Squared Error,40.54214096069336,%,100 * RMSE / (max(true_speed) - min(true_speed)),RMSE expressed as percent of the true velocity range.,Lower is better.
0,0.1,7589.7,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,Correlation,Pearson Spatial Correlation,-0.18846000525444864,unitless,"corrcoef(reconstructed_speed_flat, true_speed_flat)",Spatial similarity between reconstructed and true velocity maps.,Closer to 1 is better.
